"Minimo_periodo";"Maximo_periodo";"Desvio_padrao_periodo";"Media_Do_Retorno";"Correlacao com Ibovespa";"sharpe";"VaR";"Alfa";"Beta";"treynor"
"financeiro.tangente";-0,360497292526205;0,209503819580763;0,0938490639991388;-0,000924289272026146;0,868774190348362;-0,64444315431379;0,00880764681351444;0;1,02564197413775;-0,0589683226291976
"grande.tangente";-0,448401832492308;0,418987214497864;0,159823903239841;0,0440865021332373;0,70385364625793;-0,0967915006087903;0,0255436800468181;0,0387227428316214;1,40376999196101;-0,011020035701239
"utilidade publica.tangente";-0,258818057464284;0,189119230942443;0,0769982914500669;0,0101276696014121;0,796676832786436;-0,641941879861291;0,00592873688622945;0;0,777282583151776;-0,0635913231956619
"utilidade publica.minrisk";-0,231727506083686;0,129897789118987;0,0641890270002683;0,00697809353595444;0,839791678124674;-0,819112027119549;0,00412023118724117;0;0,683579992303006;-0,0769156567147086
