"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA"
"63";0,1095;0,0035;0;0;0;0,1824;0,1854;0,2054;0;0,3003;0;0,1265
"64";0,1111;0,0039;0;0;0;0,1845;0,1897;0,1842;0;0,3093;0;0,1322
"65";0,1127;0,0042;0;0;0;0,1866;0,194;0,163;0;0,3183;0;0,138
"66";0,1143;0,0045;0;0;0;0,1887;0,1983;0,1419;0;0,3274;0;0,1437
"67";0,116;0,0048;0;0;0;0,1908;0,2026;0,1207;0;0,3364;0;0,1495
"68";0,1178;0,0051;0;0;0;0,1929;0,2069;0,0995;0;0,3454;0;0,1552
"69";0,1196;0,0055;0;0;0;0,1951;0,2112;0,0784;0;0,3544;0;0,1609
"70";0,1214;0,0058;0;0;0;0,1972;0,2155;0,0572;0;0,3634;0;0,1667
"71";0,1232;0,0061;0;0;0;0,1993;0,2198;0,0361;0;0,3724;0;0,1724
"72";0,1251;0,0064;0;0;0;0,2014;0,2241;0,0149;0;0,3814;0;0,1782
"73";0,127;0,0067;0;0;0;0,2026;0,2211;0;0;0,3921;0;0,1842
"74";0,1301;0,0071;0;0;0;0,2017;0,2005;0;0;0,4067;0;0,191
"75";0,1333;0,0074;0;0;0;0,2009;0,18;0;0;0,4214;0;0,1977
"76";0,1365;0,0077;0;0;0;0,2;0,1595;0;0;0,436;0;0,2045
"77";0,1397;0,008;0;0;0;0,1991;0,139;0;0;0,4507;0;0,2112
"78";0,143;0,0084;0;0;0;0,1983;0,1185;0;0;0,4653;0;0,218
"79";0,1462;0,0087;0;0;0;0,1974;0,0979;0;0;0,4799;0;0,2247
"80";0,1494;0,009;0;0;0;0,1965;0,0774;0;0;0,4946;0;0,2315
"81";0,1527;0,0093;0;0;0;0,1957;0,0569;0;0;0,5092;0;0,2382
"82";0,156;0,0096;0;0;0;0,1948;0,0364;0;0;0,5239;0;0,245
"83";0,1593;0,01;0;0;0;0,1939;0,0159;0;0;0,5385;0;0,2517
"84";0,1625;0,0103;0;0;0;0,1878;0;0;0;0,5546;0;0,2576
