"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA";"DXCO3.SA";"GGBR4.SA";"PRIO3.SA";"CCRO3.SA";"CYRE3.SA"
"49";0,1493;0,0178;0;0;0;0,1171;0;0,0842;0;0,2366;0;0,0468;0;0,2174;0,2113;0,0867;0
"50";0,1517;0,0185;0;0;0;0,117;0;0,0655;0;0,2404;0;0,0494;0;0,2212;0,2195;0,087;0
"51";0,1541;0,0192;0;0;0;0,1169;0;0,0468;0;0,2443;0;0,052;0;0,2251;0,2277;0,0872;0
"52";0,1566;0,0199;0;0;0;0,1168;0;0,0282;0;0,2482;0;0,0545;0;0,2289;0,2359;0,0875;0
"53";0,1592;0,0206;0;0;0;0,1167;0;0,0095;0;0,2521;0;0,0571;0;0,2328;0,2441;0,0878;0
"54";0,1616;0,0213;0;0;0;0,1136;0;0;0;0,2557;0;0,0593;0;0,2363;0,2539;0,0813;0
"55";0,1636;0,022;0;0;0;0,1074;0;0;0;0,259;0;0,061;0;0,2394;0,2654;0,0678;0
"56";0,1659;0,0227;0;0;0;0,1013;0;0;0;0,2623;0;0,0627;0;0,2425;0,2769;0,0542;0
"57";0,1688;0,0234;0;0;0;0,0951;0;0;0;0,2656;0;0,0645;0;0,2457;0,2885;0,0407;0
"58";0,172;0,0241;0;0;0;0,0889;0;0;0;0,2689;0;0,0662;0;0,2488;0,3;0,0272;0
"59";0,1754;0,0249;0;0;0;0,0827;0;0;0;0,2722;0;0,0679;0;0,2519;0,3115;0,0136;0
"60";0,179;0,0256;0;0;0;0,0766;0;0;0;0,2755;0;0,0696;0;0,2551;0,3231;1e-04;0
"61";0,1823;0,0263;0;0;0;0,0626;0;0;0;0,2773;0;0,0675;0;0,2567;0,3359;0;0
"62";0,1858;0,027;0;0;0;0,0487;0;0;0;0,279;0;0,0652;0;0,2583;0,3487;0;0
"63";0,1894;0,0277;0;0;0;0,0347;0;0;0;0,2808;0;0,063;0;0,26;0,3616;0;0
"64";0,1931;0,0284;0;0;0;0,0207;0;0;0;0,2825;0;0,0608;0;0,2616;0,3744;0;0
"65";0,1968;0,0291;0;0;0;0,0067;0;0;0;0,2843;0;0,0586;0;0,2632;0,3872;0;0
"66";0,2004;0,0298;0;0;0;0;0;0;0;0,2837;0;0,0539;0;0,2603;0,4022;0;0
"67";0,2042;0,0305;0;0;0;0;0;0;0;0,281;0;0,0468;0;0,2531;0,4191;0;0
"68";0,2079;0,0312;0;0;0;0;0;0;0;0,2783;0;0,0397;0;0,2459;0,4361;0;0
"69";0,2116;0,0319;0;0;0;0;0;0;0;0,2756;0;0,0327;0;0,2387;0,453;0;0
"70";0,2157;0,0326;0;0;0;0;0;0;0;0,2729;0;0,0256;0;0,2315;0,47;0;0
"71";0,2198;0,0333;0;0;0;0;0;0;0;0,2702;0;0,0186;0;0,2243;0,4869;0;0
"72";0,2238;0,034;0;0;0;0;0;0;0;0,2675;0;0,0115;0;0,2172;0,5038;0;0
"73";0,2279;0,0347;0;0;0;0;0;0;0;0,2648;0;0,0045;0;0,21;0,5208;0;0
"74";0,2318;0,0354;0;0;0;0;0;0;0;0,2611;0;0;0;0,2006;0,5382;0;0
"75";0,2355;0,0361;0;0;0;0;0;0;0;0,2558;0;0;0;0,1875;0,5567;0;0
"76";0,2393;0,0368;0;0;0;0;0;0;0;0,2505;0;0;0;0,1744;0,5751;0;0
"77";0,2432;0,0375;0;0;0;0;0;0;0;0,2452;0;0;0;0,1613;0,5935;0;0
"78";0,2474;0,0382;0;0;0;0;0;0;0;0,2399;0;0;0;0,1482;0,6119;0;0
"79";0,2518;0,0389;0;0;0;0;0;0;0;0,2346;0;0;0;0,1351;0,6303;0;0
"80";0,2563;0,0396;0;0;0;0;0;0;0;0,2293;0;0;0;0,122;0,6487;0;0
"81";0,2607;0,0403;0;0;0;0;0;0;0;0,224;0;0;0;0,1089;0,6671;0;0
