"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA";"DXCO3.SA";"GGBR4.SA";"PRIO3.SA";"CCRO3.SA";"CYRE3.SA"
"47";0,1392;0,0087;0;0;0;0,1118;0;0,1384;0;0,2136;0;0,0289;0;0,2087;0,1597;0,1389;0
"48";0,1417;0,0093;0;0;0;0,1119;0;0,1171;0;0,2182;0;0,0314;0;0,2129;0,1683;0,1402;0
"49";0,1442;0,0099;0;0;0;0,1119;0;0,0959;0;0,2228;0;0,034;0;0,2171;0,1769;0,1414;0
"50";0,1469;0,0105;0;0;0;0,1119;0;0,0746;0;0,2274;0;0,0366;0;0,2213;0,1855;0,1427;0
"51";0,1496;0,0111;0;0;0;0,112;0;0,0533;0;0,232;0;0,0392;0;0,2255;0,1941;0,1439;0
"52";0,1522;0,0117;0;0;0;0,112;0;0,032;0;0,2366;0;0,0418;0;0,2296;0,2027;0,1452;0
"53";0,1549;0,0123;0;0;0;0,112;0;0,0108;0;0,2412;0;0,0443;0;0,2338;0,2113;0,1465;0
"54";0,1572;0,0129;0;0;0;0,1099;0;0;0;0,2461;0;0,0464;0;0,2368;0,2212;0,1395;0
"55";0,1591;0,0135;0;0;0;0,1056;0;0;0;0,2512;0;0,048;0;0,2386;0,2325;0,1241;0
"56";0,161;0,0141;0;0;0;0,1012;0;0;0;0,2564;0;0,0496;0;0,2404;0,2437;0,1088;0
"57";0,1628;0,0146;0;0;0;0,0969;0;0;0;0,2615;0;0,0512;0;0,2422;0,2549;0,0934;0
"58";0,1647;0,0152;0;0;0;0,0925;0;0;0;0,2666;0;0,0527;0;0,244;0,2661;0,078;0
"59";0,1671;0,0158;0;0;0;0,0882;0;0;0;0,2717;0;0,0543;0;0,2458;0,2773;0,0627;0
"60";0,1704;0,0164;0;0;0;0,0839;0;0;0;0,2769;0;0,0559;0;0,2475;0,2885;0,0473;0
"61";0,1739;0,017;0;0;0;0,0795;0;0;0;0,282;0;0,0575;0;0,2493;0,2997;0,0319;0
"62";0,1774;0,0176;0;0;0;0,0752;0;0;0;0,2871;0;0,059;0;0,2511;0,311;0,0166;0
"63";0,1811;0,0182;0;0;0;0,0708;0;0;0;0,2923;0;0,0606;0;0,2529;0,3222;0,0012;0
"64";0,1849;0,0188;0;0;0;0,0577;0;0;0;0,2962;0;0,0578;0;0,2529;0,3354;0;0
"65";0,1888;0,0194;0;0;0;0,0439;0;0;0;0,2999;0;0,0546;0;0,2528;0,3488;0;0
"66";0,1928;0,0199;0;0;0;0,03;0;0;0;0,3037;0;0,0515;0;0,2526;0,3622;0;0
"67";0,1967;0,0205;0;0;0;0,0161;0;0;0;0,3075;0;0,0483;0;0,2525;0,3756;0;0
"68";0,2007;0,0211;0;0;0;0,0023;0;0;0;0,3112;0;0,0451;0;0,2523;0,389;0;0
"69";0,2043;0,0217;0;0;0;0;0;0;0;0,3124;0;0,038;0;0,2444;0,4052;0;0
"70";0,2083;0,0223;0;0;0;0;0;0;0;0,3131;0;0,0301;0;0,235;0,4219;0;0
"71";0,2122;0,0229;0;0;0;0;0;0;0;0,3137;0;0,0221;0;0,2256;0,4386;0;0
"72";0,2164;0,0235;0;0;0;0;0;0;0;0,3143;0;0,0142;0;0,2162;0,4553;0;0
"73";0,2207;0,0241;0;0;0;0;0;0;0;0,315;0;0,0063;0;0,2067;0,472;0;0
"74";0,2249;0,0247;0;0;0;0;0;0;0;0,3151;0;0;0;0,1959;0,4891;0;0
"75";0,2287;0,0253;0;0;0;0;0;0;0;0,313;0;0;0;0,1794;0,5076;0;0
"76";0,2325;0,0258;0;0;0;0;0;0;0;0,311;0;0;0;0,1629;0,5261;0;0
"77";0,2363;0,0264;0;0;0;0;0;0;0;0,309;0;0;0;0,1465;0,5445;0;0
"78";0,2401;0,027;0;0;0;0;0;0;0;0,307;0;0;0;0,13;0,563;0;0
"79";0,2439;0,0276;0;0;0;0;0;0;0;0,3049;0;0;0;0,1135;0,5815;0;0
"80";0,2477;0,0282;0;0;0;0;0;0;0;0,3029;0;0;0;0,0971;0,6;0;0
"81";0,2515;0,0288;0;0;0;0;0;0;0;0,3009;0;0;0;0,0806;0,6185;0;0
"82";0,2553;0,0294;0;0;0;0;0;0;0;0,2988;0;0;0;0,0642;0,637;0;0
"83";0,2592;0,03;0;0;0;0;0;0;0;0,2968;0;0;0;0,0477;0,6555;0;0
"84";0,2632;0,0306;0;0;0;0;0;0;0;0,2948;0;0;0;0,0312;0,674;0;0
"85";0,2672;0,0312;0;0;0;0;0;0;0;0,2927;0;0;0;0,0148;0,6925;0;0
"86";0,2715;0,0317;0;0;0;0;0;0;0;0,2886;0;0;0;0;0,7114;0;0
"87";0,2766;0,0323;0;0;0;0;0;0;0;0,2664;0;0;0;0;0,7336;0;0
"88";0,2819;0,0329;0;0;0;0;0;0;0;0,2442;0;0;0;0;0,7558;0;0
"89";0,2875;0,0335;0;0;0;0;0;0;0;0,222;0;0;0;0;0,778;0;0
"90";0,2934;0,0341;0;0;0;0;0;0;0;0,1998;0;0;0;0;0,8002;0;0
"91";0,2993;0,0347;0;0;0;0;0;0;0;0,1776;0;0;0;0;0,8224;0;0
"92";0,3053;0,0353;0;0;0;0;0;0;0;0,1554;0;0;0;0;0,8446;0;0
"93";0,3112;0,0359;0;0;0;0;0;0;0;0,1332;0;0;0;0;0,8668;0;0
"94";0,3171;0,0365;0;0;0;0;0;0;0;0,111;0;0;0;0;0,889;0;0
"95";0,3231;0,0371;0;0;0;0;0;0;0;0,0888;0;0;0;0;0,9112;0;0
"96";0,329;0,0376;0;0;0;0;0;0;0;0,0666;0;0;0;0;0,9334;0;0
"97";0,3349;0,0382;0;0;0;0;0;0;0;0,0444;0;0;0;0;0,9556;0;0
"98";0,3409;0,0388;0;0;0;0;0;0;0;0,0222;0;0;0;0;0,9778;0;0
"99";0,3468;0,0394;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
