"Setor";"Papel";"Nome Empresa"
"Financeiro";"SCAR3.SA";"SAO CARLOS "
"Financeiro";"SYNE3.SA";"SYN PROP TEC"
"Financeiro";"LPSB3.SA";"LOPES BRASIL"
"Financeiro";"NEXP3.SA";"NEXPE"
"Financeiro";"MOAR3.SA";"MONT ARANHA "
"Financeiro";"PEAB3.SA";"PAR AL BAHIA"
"Financeiro";"PEAB4.SA";"PAR AL BAHIA"
"Financeiro";"SIMH3.SA";"SIMPAR"
"Financeiro";;"CEPAC - CTBA"
"Financeiro";;"CEPAC - MCRJ"
"Financeiro";;"CEPAC - PMSP"
"Outros";;"524 PARTICIP"
"Outros";"ATOM3.SA";"ATOMPAR"
"Outros";"BLUT3.SA";"B TECH EQI"
"Outros";"BLUT4.SA";"B TECH EQI"
"Outros";;"BETAPART "
"Outros";;"CABINDA PART"
"Outros";;"CACONDE PART"
"Outros";"MAPT3.SA";"CEMEPE "
"Outros";"MAPT4.SA";"CEMEPE "
"Outros";;"CIMS "
"Outros";;"GAMA PART "
"Outros";"FIGE3.SA";"INVEST BEMGE"
"Outros";"FIGE4.SA";"INVEST BEMGE"
"Outros";"PPAR3.SA";"POLPAR "
"Outros";;"PROMPT PART "
"Outros";;"SUDESTE S/A "
"Outros";;"SUL 116 PART"
"Outros";;"YBYRA S/A"
