"Retorno carteira R$1000";"Valor_Inicial";"Minimo_periodo";"Maximo_periodo";"Desvio_padrao_periodo";"Rendimento_Acumulado";"Rendimento_Acumulado_percentual"
"financeiro.tangente";879,342409736769;1000;576,025248052311;1000;95,931330672471;879,342409736769;-0,120657590263231
"grande.tangente";2808,01261302754;1000;500,945752932218;3409,41170980098;762,155509827538;2808,01261302754;1,80801261302754
"utilidade publica.tangente";1392,04691080104;1000;736,821531867103;1413,15009799246;148,438048077068;1392,04691080104;0,392046910801038
"utilidade publica.minrisk";1283,55478236839;1000;734,400141178682;1288,62717057565;122,030154375345;1283,55478236839;0,283554782368391
