"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA"
"89";0,12;0,0182;0,148;0;0,8021;0;0,0499
"90";0,121;0,0183;0,1448;0;0,816;0;0,0391
"91";0,122;0,0185;0,1417;0;0,83;0;0,0284
"92";0,123;0,0186;0,1385;0;0,8439;0;0,0176
"93";0,1241;0,0188;0,1353;0;0,8579;0;0,0068
"94";0,125;0,019;0,1256;0;0,8744;0;0
"95";0,1256;0,0191;0,1047;0;0,8953;0;0
"96";0,1263;0,0193;0,0837;0;0,9163;0;0
"97";0,127;0,0195;0,0628;0;0,9372;0;0
"98";0,1281;0,0196;0,0419;0;0,9581;0;0
"99";0,1299;0,0198;0,0209;0;0,9791;0;0
"100";0,132;0,0199;0;0;1;0;0
