"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA"
"60";0,1042;3e-04;0;0,0067;0;0,1775;0,1552;0,2943;0;0,2815;0;0,0848
"61";0,1054;6e-04;0;0,0028;0;0,181;0,1587;0,2734;0;0,2937;0;0,0905
"62";0,1068;0,001;0;0;0;0,1843;0,1619;0,2519;0;0,3059;0;0,0959
"63";0,1087;0,0013;0;0;0;0,1874;0,1642;0,2293;0;0,3182;0;0,1009
"64";0,1107;0,0016;0;0;0;0,1906;0,1666;0,2066;0;0,3304;0;0,1059
"65";0,1131;0,0019;0;0;0;0,1937;0,1689;0,1839;0;0,3426;0;0,1109
"66";0,1155;0,0022;0;0;0;0,1969;0,1712;0,1612;0;0,3548;0;0,1158
"67";0,1179;0,0026;0;0;0;0,2;0,1736;0,1386;0;0,3671;0;0,1208
"68";0,1204;0,0029;0;0;0;0,2032;0,1759;0,1159;0;0,3793;0;0,1258
"69";0,1228;0,0032;0;0;0;0,2063;0,1782;0,0932;0;0,3915;0;0,1308
"70";0,1253;0,0035;0;0;0;0,2095;0,1805;0,0705;0;0,4037;0;0,1357
"71";0,1278;0,0038;0;0;0;0,2126;0,1829;0,0478;0;0,416;0;0,1407
"72";0,1303;0,0042;0;0;0;0,2158;0,1852;0,0252;0;0,4282;0;0,1457
"73";0,1329;0,0045;0;0;0;0,2189;0,1875;0,0025;0;0,4404;0;0,1506
"74";0,1359;0,0048;0;0;0;0,2211;0,1695;0;0;0,4557;0;0,1536
"75";0,1389;0,0051;0;0;0;0,2232;0,149;0;0;0,4714;0;0,1564
"76";0,142;0,0055;0;0;0;0,2252;0,1285;0;0;0,4871;0;0,1591
"77";0,1451;0,0058;0;0;0;0,2273;0,108;0;0;0,5029;0;0,1619
"78";0,1481;0,0061;0;0;0;0,2293;0,0875;0;0;0,5186;0;0,1646
"79";0,1512;0,0064;0;0;0;0,2314;0,067;0;0;0,5343;0;0,1674
"80";0,1543;0,0067;0;0;0;0,2334;0,0465;0;0;0,55;0;0,1701
"81";0,1575;0,0071;0;0;0;0,2355;0,026;0;0;0,5657;0;0,1729
"82";0,1606;0,0074;0;0;0;0,2375;0,0055;0;0;0,5814;0;0,1756
"83";0,1642;0,0077;0;0;0;0,2237;0;0;0;0,6027;0;0,1735
"84";0,1679;0,008;0;0;0;0,2042;0;0;0;0,6261;0;0,1697
"85";0,1715;0,0083;0;0;0;0,1846;0;0;0;0,6495;0;0,1658
"86";0,1752;0,0087;0;0;0;0,1651;0;0;0;0,6729;0;0,162
"87";0,1789;0,009;0;0;0;0,1455;0;0;0;0,6963;0;0,1581
"88";0,1826;0,0093;0;0;0;0,126;0;0;0;0,7197;0;0,1543
"89";0,1862;0,0096;0;0;0;0,1064;0;0;0;0,7431;0;0,1504
"90";0,1899;0,01;0;0;0;0,0869;0;0;0;0,7665;0;0,1466
"91";0,1936;0,0103;0;0;0;0,0673;0;0;0;0,7899;0;0,1427
"92";0,1975;0,0106;0;0;0;0,0478;0;0;0;0,8133;0;0,1389
"93";0,2017;0,0109;0;0;0;0,0282;0;0;0;0,8367;0;0,135
"94";0,2065;0,0112;0;0;0;0,0087;0;0;0;0,8601;0;0,1312
"95";0,2124;0,0116;0;0;0;0;0;0;0;0,8863;0;0,1137
"96";0,22;0,0119;0;0;0;0;0;0;0;0,9148;0;0,0852
"97";0,2279;0,0122;0;0;0;0;0;0;0;0,9432;0;0,0568
"98";0,2359;0,0125;0;0;0;0;0;0;0;0,9716;0;0,0284
"99";0,2445;0,0128;0;0;0;0;0;0;0;1;0;0
