"Valor_Inicial";"Retorno carteira R$1000";"Minimo_periodo";"Maximo_periodo";"Desvio_padrao_periodo";"Rendimento_Acumulado";"Rendimento_Acumulado_percentual"
"ibov.tangente";1000;1470,11924271342;947,765897951282;1544,69804421641;162,069570452382;1470,11924271342;0,470119242713423
"grande.tangente";1000;1152,99876589766;951,612961396556;1267,98995774482;68,2231083017867;1152,99876589766;0,15299876589766
"utilidade publica.tangente";1000;1429,82486175734;885,817675767851;1480,66219028212;143,095554561911;1429,82486175734;0,429824861757342
"utilidade publica.minrisk";1000;1319,85561064516;859,849047288363;1366,37093066375;120,978942814497;1319,85561064516;0,319855610645156
