"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA"
"87";0,1183;-9e-04;0;0,3157;0;0,4207;0,2636
"88";0,1195;-8e-04;0;0,318;0;0,461;0,2209
"89";0,1209;-6e-04;0;0,3203;0;0,5014;0,1783
"90";0,1226;-5e-04;0;0,3226;0;0,5417;0,1356
"91";0,1242;-3e-04;0;0,3249;0;0,5821;0,093
"92";0,126;-2e-04;0;0,3273;0;0,6224;0,0503
"93";0,1283;0;0;0,3296;0;0,6628;0,0077
"94";0,1307;1e-04;0;0,2835;0;0,7165;0
"95";0,1348;2e-04;0;0,2268;0;0,7732;0
"96";0,1397;4e-04;0;0,1701;0;0,8299;0
"97";0,1448;5e-04;0;0,1134;0;0,8866;0
"98";0,1519;7e-04;0;0,0567;0;0,9433;0
"99";0,1611;8e-04;0;0;0;1;0
